product_id,product_name,brand,category,price,dimension,color,source_file,time_stamp,processed_timestamp
PROD000003,Chest of Drawers,Wakefit,Furniture,26169.9,115x144x14 cm,Yellow,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000006,Running Shoes,Nike,sports,15503.11,37x47x52 cm,Yellow,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000012,Laptop,Dell,Electronics,74349.18,18x144x100 cm,Green,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000013,Laptop,Hp,Electronics,54612.02,101x64x13 cm,Black,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000015,Running Shoes,Nike,sports,4769.24,158x23x41 cm,Black,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000021,Ab Roller,Skechers,sports,16716.5,54x165x21 cm,Blue,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000032,Soundbar,Oneplus,Electronics,73039.53,44x87x4 cm,Blue,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000035,Wireless Earbuds,Boat,Electronics,32485.75,40x59x72 cm,Black,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000037,Electric Kettle,Prestige,home,3636.91,153x93x55 cm,White,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000041,TV Unit,Sleepwell,Furniture,25798.27,152x199x83 cm,Yellow,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000047,Camera,Sony,Electronics,61751.15,84x148x20 cm,White,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000048,Laptop,Hp,Electronics,50106.4,35x41x17 cm,Red,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000055,Conditioner,Sugar Cosmetics,beauty,1621.1,170x15x88 cm,White,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000056,Nail Polish,Sugar Cosmetics,beauty,1074.5,101x158x36 cm,Yellow,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000060,Swimming Goggles,Decathlon,sports,10772.72,54x121x75 cm,White,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000065,Tablet,Xiaomi,Electronics,62471.95,60x24x80 cm,Yellow,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000067,Vase,Borosil,home,2435.85,158x71x36 cm,Black,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000068,Computer Table,Sleepwell,Furniture,21156.94,79x24x3 cm,Blue,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000072,Swimming Goggles,Reebok,sports,14546.04,68x65x3 cm,Black,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000076,Golf Club,Under Armour,sports,13951.3,51x137x37 cm,White,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000085,Basketball,Skechers,sports,13596.6,20x36x63 cm,Yellow,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000091,Denim Jacket,Wrogn,clothing,3483.56,45x45x85 cm,Yellow,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000093,Hockey Stick,Decathlon,sports,13117.79,11x78x12 cm,White,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000101,Dining Table,Nilkamal,Furniture,31498.17,34x119x97 cm,Yellow,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000106,Laptop,Dell,Electronics,32183.87,186x139x37 cm,Green,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000109,Saree,Levi's,clothing,2399.76,196x106x86 cm,White,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000111,Ankle Boots,Peter England,clothing,1959.37,8x40x14 cm,Green,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000112,Running Shoes,Nike,sports,15958.13,144x114x77 cm,Yellow,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000116,TV Unit,Wakefit,Furniture,41328.76,172x71x87 cm,Blue,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000118,Setting Spray,Lakme,beauty,2033.13,128x7x93 cm,Yellow,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000119,Action Camera,Oneplus,Electronics,47922.63,161x176x17 cm,White,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000124,Laptop,Hp,Electronics,22210.53,18x9x72 cm,Green,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000131,Shuttlecocks,Yonex,sports,12306.23,96x52x64 cm,Blue,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000134,Smartphone,Oneplus,Electronics,57901.8,169x104x96 cm,Black,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000135,Electric Kettle,Bombay Dyeing,home,2908.09,83x101x60 cm,Yellow,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000141,Dustbin,Cello,home,3225.55,49x163x95 cm,Yellow,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000150,Running Shoes,Nike,sports,15057.02,172x60x19 cm,Green,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
PROD000152,Laptop,Dell,Electronics,36734.9,150x71x39 cm,Blue,products.csv,2026-04-27T11:46:50.401+05:30,2026-04-27T11:47:50.569+05:30
